order_date,region,product,quantity,amount,order_id
2025-01-17,North,Gizmo,24,294.14,1051
2025-01-17,West,Sprocket,39,3409.51,1052
2025-01-17,West,Sprocket,5,433.29,1053
2025-01-17,South,Sprocket,18,1724.04,1054
2025-01-18,South,Cog,23,143.49,1055
2025-01-18,East,Sprocket,5,455.47,1056
2025-01-18,East,Gadget,14,791.02,1057
2025-01-18,South,Cog,34,233.49,1058
2025-01-19,West,Gadget,13,693.41,1059
2025-01-19,East,Gadget,31,1770.57,1060
2025-01-19,South,Cog,32,199.98,1061
2025-01-19,South,Gizmo,26,308.24,1062
2025-01-20,West,Gadget,33,1710.7,1063
2025-01-20,North,Gadget,35,1726.88,1064
2025-01-20,North,Widget,16,474.14,1065
2025-01-20,East,Widget,11,281.53,1066
2025-01-21,North,Cog,28,180.75,1067
2025-01-21,West,Cog,4,26.62,1068
2025-01-21,West,Cog,10,69.69,1069
2025-01-22,North,Cog,24,157.54,1070
2025-01-22,North,Gadget,33,1755.28,1071
2025-01-22,West,Gizmo,28,326.92,1072
2025-01-22,East,Cog,34,228.26,1073
2025-01-23,South,Widget,23,585.64,1074
2025-01-24,West,Gadget,8,474.48,1075
2025-01-24,West,Gadget,20,1084.4,1076
2025-01-24,West,Cog,10,73.67,1077
2025-01-24,East,Cog,38,235.67,1078
2025-01-25,East,Gizmo,34,409.58,1079
2025-01-25,West,Gizmo,21,254.76,1080
2025-01-25,North,Gadget,6,325.8,1081
2025-01-25,North,Gadget,10,545.56,1082
2025-01-26,North,Widget,38,1069.45,1083
2025-01-26,East,Widget,15,415.76,1084
2025-01-26,South,Gizmo,33,424.44,1085
2025-01-27,East,Gadget,9,457.03,1086
2025-01-27,West,Cog,38,253.3,1087
2025-01-27,West,Sprocket,7,616.49,1088
2025-01-28,East,Cog,25,184.26,1089
2025-01-28,East,Gadget,22,1099.05,1090
2025-01-28,West,Gadget,10,502.62,1091
2025-01-28,South,Cog,6,42.77,1092
2025-01-29,South,Gadget,26,1517.17,1093
2025-01-29,West,Cog,30,196.12,1094
2025-01-29,West,Gadget,29,1597.64,1095
2025-01-30,South,Cog,21,134.41,1096
2025-01-31,North,Gadget,30,1505.04,1097
2025-02-01,South,Cog,26,181.83,1098
2025-02-01,South,Cog,18,118.91,1099
2025-02-01,East,Sprocket,21,1768.12,1100
2025-02-02,North,Gadget,3,177.83,1101
2025-02-03,East,Gizmo,39,461.45,1102
2025-02-03,South,Gadget,14,722.62,1103
2025-02-03,South,Widget,31,878.74,1104
2025-02-03,East,Cog,15,91.57,1105
2025-02-04,East,Gizmo,7,89.69,1106
2025-02-05,South,Gizmo,39,447.74,1107
2025-02-06,West,Sprocket,7,629.31,1108
2025-02-06,West,Sprocket,13,1196.11,1109
2025-02-07,North,Cog,4,24.35,1110
2025-02-08,South,Cog,16,109.66,1111
2025-02-08,East,Sprocket,15,1376.15,1112
2025-02-08,South,Sprocket,23,2117.39,1113
2025-02-08,South,Sprocket,2,172.25,1114
2025-02-09,South,Widget,29,870.03,1115
2025-02-09,North,Sprocket,23,1992.54,1116
2025-02-09,South,Widget,24,612.93,1117
2025-02-09,East,Cog,23,147.05,1118
2025-02-10,East,Cog,27,181.74,1119
2025-02-10,North,Gadget,20,1066.05,1120
2025-02-11,East,Sprocket,21,1751.23,1121
2025-02-11,East,Gadget,13,730.52,1122
2025-02-11,South,Gizmo,34,463.45,1123
2025-02-12,East,Cog,26,187.25,1124
2025-02-12,West,Sprocket,36,3428.03,1125
2025-02-12,North,Cog,15,103.22,1126
2025-02-13,West,Widget,1,25.83,1127
2025-02-13,North,Gizmo,3,34.87,1128
2025-02-13,South,Cog,17,112.85,1129
2025-02-13,East,Gizmo,23,308.59,1130
2025-02-14,South,Gadget,4,210.43,1131
2025-02-14,East,Sprocket,20,1891.66,1132
2025-02-14,East,Gizmo,25,302.83,1133
2025-02-15,South,Cog,24,173.92,1134
2025-02-16,East,Widget,12,365.51,1135
2025-02-16,South,Cog,29,191.92,1136
2025-02-17,North,Widget,1,28.07,1137
2025-02-17,West,Widget,13,364.56,1138
2025-02-17,South,Sprocket,25,2166.01,1139
2025-02-17,North,Sprocket,18,1542.69,1140
2025-02-18,West,Gizmo,11,135.55,1141
2025-02-18,West,Cog,13,90.81,1142
2025-02-18,South,Gizmo,31,372.74,1143
2025-02-18,South,Widget,26,676.72,1144
2025-02-19,East,Cog,22,133.76,1145
2025-02-19,West,Sprocket,28,2442.67,1146
2025-02-19,North,Cog,40,258.5,1147
2025-02-20,West,Sprocket,17,1355.96,1148
2025-02-20,West,Sprocket,33,3170.7,1149
2025-02-21,East,Sprocket,38,3574.58,1150
2025-02-21,South,Gizmo,18,246.76,1151
2025-02-21,South,Cog,28,171.14,1152
2025-02-21,South,Cog,7,45.82,1153
2025-02-22,West,Widget,9,265.3,1154
2025-02-22,West,Gadget,17,921.24,1155
2025-02-23,West,Sprocket,16,1514.09,1156
2025-02-24,South,Gadget,33,1939.98,1157
2025-02-24,East,Gadget,19,1089.98,1158
2025-02-25,South,Widget,37,1029.44,1159
2025-02-25,East,Gadget,3,170.13,1160
2025-02-26,North,Sprocket,37,3494.44,1161
2025-02-26,West,Gizmo,40,476.42,1162
2025-02-26,West,Sprocket,19,1749.4,1163
2025-02-26,East,Gizmo,22,259.36,1164
2025-02-27,East,Widget,2,60.23,1165
2025-02-27,South,Cog,35,224.88,1166
2025-02-28,South,Gizmo,40,485.58,1167
2025-02-28,North,Cog,13,95.81,1168
2025-02-28,North,Gadget,2,97.33,1169
2025-02-28,East,Widget,2,56.58,1170
2025-03-01,West,Gadget,15,825.65,1171
2025-03-02,South,Cog,15,99.14,1172
2025-03-02,South,Widget,30,756.86,1173
2025-03-02,East,Gizmo,18,204.72,1174
2025-03-03,South,Cog,18,123.22,1175
2025-03-03,North,Cog,11,70.1,1176
2025-03-04,East,Sprocket,29,2690.71,1177
2025-03-05,East,Widget,1,26.8,1178
2025-03-05,West,Gadget,23,1267.68,1179
2025-03-05,West,Sprocket,25,2096.33,1180
2025-03-06,North,Sprocket,17,1543.35,1181
2025-03-06,West,Sprocket,24,2028.73,1182
2025-03-06,East,Sprocket,38,3477.76,1183
2025-03-07,North,Sprocket,25,2067.98,1184
2025-03-07,North,Gadget,37,2054.81,1185
2025-03-07,North,Sprocket,38,3182.36,1186
2025-03-07,South,Sprocket,29,2727.74,1187
2025-03-08,West,Gizmo,28,372.04,1188
2025-03-08,West,Sprocket,9,715.14,1189
2025-03-09,North,Sprocket,22,2081.15,1190
2025-03-09,West,Gadget,31,1610.64,1191
2025-03-09,North,Gadget,4,233.98,1192
2025-03-10,East,Gadget,7,403.67,1193
2025-03-10,West,Cog,13,89.91,1194
2025-03-10,North,Cog,7,51.53,1195
2025-03-11,West,Gadget,36,2069.44,1196
2025-03-12,South,Cog,36,245.35,1197
2025-03-12,North,Gizmo,25,304.31,1198
2025-03-12,East,Widget,39,1110.17,1199
2025-03-13,East,Sprocket,9,846.6,1200
2025-03-14,East,Gadget,11,557.55,1201
2025-03-14,South,Widget,25,743.93,1202
2025-03-14,North,Widget,3,83.94,1203
2025-03-15,South,Sprocket,5,472.04,1204
2025-03-15,West,Sprocket,15,1334.24,1205
2025-03-16,East,Widget,7,187.83,1206
2025-03-16,East,Gadget,26,1492.77,1207
2025-03-17,South,Cog,29,204.54,1208
2025-03-17,East,Widget,36,974.88,1209
2025-03-17,West,Gadget,4,202.5,1210
2025-03-18,North,Gizmo,37,457.85,1211
2025-03-19,North,Cog,16,102.86,1212
2025-03-19,North,Gizmo,18,203.37,1213
2025-03-20,West,Cog,19,140.36,1214
2025-03-21,East,Cog,20,135.4,1215
2025-03-22,East,Gizmo,6,79.08,1216
2025-03-22,North,Widget,7,208.13,1217
2025-03-23,North,Gadget,6,344.53,1218
2025-03-23,South,Widget,13,346.24,1219
2025-03-24,East,Gizmo,26,334.52,1220
2025-03-25,East,Gizmo,34,456.83,1221
2025-03-25,South,Gizmo,6,81.99,1222
2025-03-25,South,Cog,2,13.75,1223
2025-03-26,South,Gizmo,26,351.59,1224
2025-03-26,East,Widget,9,249.71,1225
2025-03-26,East,Gadget,14,791.72,1226
2025-03-27,South,Widget,10,301.1,1227
2025-03-28,South,Gadget,5,245.31,1228
2025-03-28,South,Gizmo,17,201.48,1229
2025-03-28,West,Sprocket,40,3692.64,1230
2025-03-28,East,Sprocket,27,2406.14,1231
2025-03-29,West,Gadget,37,2139.56,1232
2025-03-30,East,Widget,2,55.6,1233
2025-03-31,South,Cog,7,49.54,1234
2025-04-01,South,Gizmo,7,95.81,1235
2025-04-02,North,Gadget,13,697.93,1236
2025-04-02,North,Gadget,26,1502.31,1237
2025-04-02,South,Gadget,16,929.86,1238
2025-04-02,West,Cog,33,240.56,1239
2025-04-03,North,Gizmo,32,402.51,1240
2025-04-03,South,Gadget,21,1162.9,1241
2025-04-03,East,Sprocket,22,1763.94,1242
2025-04-04,East,Cog,30,205.84,1243
2025-04-04,South,Sprocket,8,742.24,1244
2025-04-05,East,Widget,20,534.64,1245
2025-04-05,East,Widget,24,674.93,1246
2025-04-05,North,Cog,6,42.55,1247
2025-04-06,South,Gizmo,25,323.3,1248
2025-04-06,North,Gizmo,32,425.27,1249
2025-04-06,North,Widget,31,953.36,1250
2025-04-06,West,Gizmo,9,119.2,1251
2025-04-07,West,Gizmo,39,504.04,1252
2025-04-07,East,Gadget,1,53.4,1253
2025-04-07,West,Sprocket,32,2856.33,1254
2025-04-08,West,Cog,33,242.79,1255
2025-04-08,South,Cog,21,139.29,1256
2025-04-09,West,Cog,9,61.67,1257
2025-04-09,West,Sprocket,23,1897.2,1258
2025-04-09,South,Sprocket,14,1322.08,1259
2025-04-09,East,Gadget,8,392.59,1260
2025-04-10,East,Sprocket,21,1891.49,1261
2025-04-10,West,Gadget,40,2290.84,1262
2025-04-10,East,Widget,14,431.13,1263
2025-04-10,West,Sprocket,18,1618.09,1264
2025-04-11,North,Cog,21,146.61,1265
2025-04-11,South,Cog,27,179.9,1266
2025-04-11,North,Gizmo,26,343.76,1267
2025-04-11,East,Gadget,19,939.5,1268
2025-04-12,North,Cog,31,227.05,1269
2025-04-12,East,Widget,26,787.19,1270
2025-04-12,West,Sprocket,19,1813.27,1271
2025-04-12,South,Widget,20,555.03,1272
2025-04-13,East,Gizmo,27,351.09,1273
2025-04-13,South,Cog,21,153.51,1274
2025-04-14,North,Gadget,31,1717.69,1275
2025-04-14,West,Sprocket,37,2997.21,1276
2025-04-15,North,Cog,19,128.49,1277
2025-04-16,South,Widget,3,85.92,1278
2025-04-17,North,Gadget,21,1161.71,1279
2025-04-18,West,Cog,27,195.46,1280
2025-04-18,West,Cog,40,292.13,1281
2025-04-18,West,Cog,16,102.63,1282
2025-04-19,East,Cog,2,13.98,1283
2025-04-19,West,Gizmo,15,202.11,1284
2025-04-20,North,Sprocket,27,2390.07,1285
2025-04-20,West,Gizmo,37,467.69,1286
2025-04-20,West,Gizmo,15,177.08,1287
2025-04-20,South,Gizmo,9,105.47,1288
2025-04-21,South,Cog,11,67.42,1289
2025-04-21,West,Sprocket,4,353.86,1290
2025-04-21,South,Gizmo,6,80.44,1291
2025-04-21,West,Sprocket,26,2175.3,1292
2025-04-22,South,Gizmo,22,290.66,1293
2025-04-22,East,Sprocket,6,564.57,1294
2025-04-22,East,Gadget,6,344.2,1295
2025-04-22,South,Gizmo,24,290.67,1296
2025-04-23,North,Gizmo,37,474.61,1297
2025-04-23,North,Gadget,3,155.87,1298
2025-04-24,East,Gadget,18,1053.32,1299
2025-04-24,East,Widget,24,721.66,1300
2025-04-25,North,Gizmo,4,52.95,1301
2025-04-26,North,Widget,18,465.18,1302
2025-04-26,South,Gadget,36,1869.0,1303
2025-04-26,West,Sprocket,29,2787.6,1304
2025-04-26,East,Widget,13,330.43,1305
2025-04-27,North,Sprocket,29,2553.59,1306
2025-04-27,North,Gadget,28,1476.68,1307
2025-04-28,East,Gadget,12,631.55,1308
2025-04-28,North,Gadget,25,1388.38,1309
2025-04-28,South,Cog,31,213.31,1310
2025-04-28,West,Gadget,24,1323.73,1311
2025-04-29,West,Gadget,21,1195.38,1312
2025-04-29,East,Gizmo,15,181.93,1313
2025-04-29,North,Cog,13,84.92,1314
2025-04-29,East,Widget,34,867.66,1315
2025-04-30,East,Cog,6,41.77,1316
2025-04-30,East,Gadget,26,1456.22,1317
2025-04-30,North,Widget,9,233.63,1318
2025-05-01,East,Cog,9,59.41,1319
2025-05-01,East,Gizmo,37,430.53,1320
2025-05-01,West,Gizmo,33,418.97,1321
2025-05-02,West,Gizmo,27,320.99,1322
2025-05-02,South,Cog,13,82.39,1323
2025-05-02,West,Cog,13,81.57,1324
2025-05-02,West,Gadget,17,895.73,1325
2025-05-03,North,Gizmo,40,486.66,1326
2025-05-03,East,Gadget,40,2355.03,1327
2025-05-03,South,Widget,29,741.72,1328
2025-05-04,North,Cog,40,259.33,1329
2025-05-04,East,Sprocket,30,2592.37,1330
2025-05-04,East,Widget,40,1053.13,1331
2025-05-04,West,Sprocket,21,1833.06,1332
2025-05-05,South,Gizmo,2,25.77,1333
2025-05-06,South,Widget,33,916.2,1334
2025-05-06,North,Gadget,13,695.87,1335
2025-05-06,South,Cog,36,234.2,1336
2025-05-06,North,Gadget,11,572.11,1337
2025-05-07,East,Cog,36,261.29,1338
2025-05-07,East,Widget,1,26.91,1339
2025-05-08,West,Sprocket,2,190.95,1340
2025-05-08,South,Cog,27,169.11,1341
2025-05-09,North,Gadget,2,112.9,1342
2025-05-09,West,Cog,16,104.75,1343
2025-05-09,South,Gizmo,3,39.19,1344
2025-05-09,South,Widget,25,646.9,1345
2025-05-10,West,Sprocket,24,1971.79,1346
2025-05-10,South,Gizmo,21,255.21,1347
2025-05-10,North,Widget,5,144.04,1348
2025-05-11,North,Widget,27,783.18,1349
2025-05-12,South,Sprocket,34,3048.06,1350
2025-05-12,South,Gadget,28,1381.94,1351
2025-05-13,West,Sprocket,25,2239.1,1352
2025-05-13,East,Gadget,17,899.17,1353
2025-05-13,North,Gadget,24,1356.28,1354
2025-05-13,West,Gizmo,4,46.41,1355
2025-05-14,North,Gadget,22,1276.34,1356
2025-05-14,North,Cog,34,232.08,1357
2025-05-14,East,Gizmo,27,322.91,1358
2025-05-15,East,Sprocket,19,1739.6,1359
2025-05-15,East,Gadget,24,1221.95,1360
2025-05-15,East,Widget,36,1104.71,1361
2025-05-15,West,Sprocket,21,1903.23,1362
2025-05-16,North,Sprocket,6,494.74,1363
2025-05-17,West,Cog,14,95.87,1364
2025-05-18,East,Widget,13,365.47,1365
2025-05-18,South,Widget,11,295.37,1366
2025-05-18,North,Gadget,10,571.63,1367
2025-05-19,North,Widget,17,453.92,1368
2025-05-19,North,Cog,28,170.24,1369
2025-05-19,South,Sprocket,38,3355.82,1370
2025-05-20,East,Widget,8,217.79,1371
2025-05-20,North,Gadget,36,2048.83,1372
2025-05-20,West,Gizmo,24,308.53,1373
2025-05-20,North,Cog,2,14.78,1374
2025-05-21,North,Gizmo,29,329.37,1375
2025-05-21,West,Cog,29,182.3,1376
2025-05-21,East,Gadget,11,576.75,1377
2025-05-22,South,Cog,11,69.26,1378
2025-05-23,East,Gadget,11,546.95,1379
2025-05-23,West,Sprocket,36,3405.09,1380
2025-05-23,North,Gadget,24,1184.7,1381
2025-05-23,South,Sprocket,7,672.05,1382
2025-05-24,West,Gizmo,5,60.23,1383
2025-05-24,East,Cog,19,128.6,1384
2025-05-25,South,Gizmo,25,291.91,1385
2025-05-25,South,Sprocket,38,3164.85,1386
2025-05-26,West,Sprocket,22,2061.26,1387
2025-05-26,North,Gadget,35,1701.39,1388
2025-05-26,East,Cog,37,264.69,1389
2025-05-27,East,Sprocket,27,2195.2,1390
2025-05-27,West,Sprocket,32,2884.11,1391
2025-05-28,East,Widget,12,311.15,1392
2025-05-29,North,Gadget,26,1418.29,1393
2025-05-29,South,Sprocket,12,1139.89,1394
2025-05-30,West,Sprocket,31,2462.87,1395
2025-05-31,South,Cog,10,63.77,1396
2025-05-31,North,Gadget,15,796.72,1397
2025-06-01,East,Gizmo,23,263.72,1398
2025-06-01,North,Gadget,20,1006.98,1399
2025-06-01,North,Widget,33,877.38,1400
2025-06-01,South,Cog,37,259.75,1401
2025-06-02,East,Gizmo,34,402.29,1402
2025-06-03,East,Cog,10,73.56,1403
2025-06-04,West,Widget,36,1042.56,1404
2025-06-04,North,Gadget,22,1123.05,1405
2025-06-05,West,Sprocket,13,1207.64,1406
2025-06-06,West,Sprocket,10,881.38,1407
2025-06-06,South,Gizmo,3,34.96,1408
2025-06-06,North,Sprocket,33,3130.53,1409
2025-06-06,South,Cog,4,26.26,1410
2025-06-07,West,Gadget,3,156.14,1411
2025-06-07,South,Gadget,32,1722.77,1412
2025-06-07,West,Gadget,39,2195.13,1413
2025-06-08,North,Gadget,40,2233.46,1414
2025-06-08,West,Cog,24,168.47,1415
2025-06-08,North,Gadget,12,599.46,1416
2025-06-09,South,Gizmo,5,60.87,1417
2025-06-09,East,Cog,8,50.22,1418
2025-06-09,South,Sprocket,3,263.5,1419
2025-06-10,South,Gadget,40,2149.66,1420
2025-06-10,East,Cog,16,118.49,1421
2025-06-11,East,Widget,21,607.38,1422
2025-06-11,West,Cog,29,179.62,1423
2025-06-11,South,Widget,14,356.0,1424
2025-06-12,North,Gadget,22,1279.47,1425
2025-06-12,North,Gizmo,14,187.86,1426
2025-06-12,East,Gadget,15,732.66,1427
2025-06-12,South,Cog,32,196.34,1428
2025-06-13,South,Cog,1,6.22,1429
2025-06-14,South,Gizmo,24,298.86,1430
2025-06-14,West,Gadget,23,1121.76,1431
2025-06-14,East,Widget,1,26.12,1432
2025-06-15,North,Sprocket,37,3157.68,1433
2025-06-15,West,Gadget,36,1758.67,1434
2025-06-15,North,Gadget,1,50.99,1435
2025-06-15,South,Cog,15,109.13,1436
2025-06-16,East,Cog,37,256.11,1437
2025-06-16,West,Widget,35,969.69,1438
2025-06-17,South,Gizmo,33,381.11,1439
2025-06-17,West,Cog,31,192.72,1440
2025-06-17,North,Widget,20,598.86,1441
2025-06-18,North,Sprocket,40,3863.84,1442
2025-06-18,West,Sprocket,32,3024.34,1443
2025-06-18,East,Gadget,4,201.08,1444
2025-06-19,East,Widget,29,830.62,1445
2025-06-19,East,Cog,21,150.82,1446
2025-06-20,North,Gadget,37,1966.98,1447
2025-06-20,North,Sprocket,9,741.0,1448
2025-06-20,South,Cog,31,217.85,1449
2025-06-21,South,Sprocket,22,2048.12,1450
2025-06-21,East,Sprocket,3,245.41,1451
2025-06-21,North,Gadget,34,1679.03,1452
2025-06-21,East,Widget,29,881.89,1453
2025-06-22,South,Gizmo,38,434.98,1454
2025-06-23,South,Cog,34,215.39,1455
2025-06-23,North,Gadget,24,1310.13,1456
2025-06-23,South,Gadget,2,102.25,1457
2025-06-24,South,Gizmo,25,306.6,1458
2025-06-25,West,Sprocket,22,1847.19,1459
2025-06-25,North,Gadget,4,213.1,1460
2025-06-25,North,Widget,14,372.57,1461
2025-06-25,East,Gizmo,38,428.57,1462
2025-06-26,North,Sprocket,35,2979.2,1463
2025-06-26,West,Gadget,23,1168.85,1464
2025-06-26,West,Sprocket,18,1648.49,1465
2025-06-27,South,Gizmo,13,169.39,1466
2025-06-27,South,Gizmo,14,181.69,1467
2025-06-28,North,Gadget,7,400.11,1468
2025-06-28,East,Sprocket,24,2087.39,1469
2025-06-28,North,Gadget,24,1176.58,1470
2025-06-28,West,Sprocket,28,2251.76,1471
2025-06-29,East,Cog,31,218.9,1472
